",""nest_id"",""nestbox"",""plot"",""tree_species_composition"",""fragment_area"",""edge_density"",""breeding_season"",""species"",""id_male"",""id_female"",""laying_date"",""clutch_size"",""collected_Egg"",""hatchling_number"",""Fledgling_number"",""frass"""
"36,""2015_20_3"",""20_3"",20,""Qrob"",3.0269,875.5084322,2015,""Cyanistescaeruleus"",""12126438"",""12126439"",2015-04-09,13,1,11,0,NA"
"37,""2015_19_4"",""19_4"",19,""Qrob"",90.3595,1309.083906,2015,""Cyanistescaeruleus"",""12126440"",NA,2015-04-05,14,1,9,9,NA"
"38,""2015_40_2"",""40_2"",40,""Qrub"",46.6448,1756.705971,2015,""Cyanistescaeruleus"",""12126443"",""12126442"",2015-04-14,9,1,8,5,NA"
"39,""2015_43_1"",""43_1"",43,""Qrob"",46.6448,1077.37021,2015,""Cyanistescaeruleus"",""12126444"",""12126203"",2015-04-12,12,1,10,10,NA"
"40,""2015_36_2"",""36_2"",36,""Qrub"",58.3536,1206.265666,2015,""Cyanistescaeruleus"",""12126446"",""12126445"",2015-04-16,9,1,8,6,NA"
"41,""2016_36_2"",""36_2"",36,""Qrub"",58.3536,1206.265666,2016,""Cyanistescaeruleus"",""12126446"",NA,2016-04-13,10,0,9,0,0.115332024"
"42,""2015_46_3"",""46_3"",46,""threespec"",18.7863,2443.81969,2015,""Cyanistescaeruleus"",""12126448"",""12126447"",2015-04-14,11,0,10,9,NA"
"43,""2015_2_2"",""2_2"",2,""Fsyl"",43.7401,1811.174044,2015,""Cyanistescaeruleus"",""12126465"",""12126466"",2015-04-19,8,1,7,7,NA"
"44,""2015_12_1"",""12_1"",12,""FsylQrub"",90.3595,1747.115895,2015,""Cyanistescaeruleus"",""12126495"",""11024463"",2015-04-20,8,1,6,5,NA"
"45,""2015_51_4"",""51_4"",51,""QrobQrub"",25.5002,1674.359935,2015,""Cyanistescaeruleus"",""12126497"",""12126496"",2015-04-14,9,0,9,9,NA"
"46,""2016_49_4"",""49_4"",49,""QrobQrub"",25.5002,1946.661629,2016,""Cyanistescaeruleus"",""12224750"",""12126112"",2016-04-15,15,0,11,11,0.518265159"
"47,""2015_30_1"",""30_1"",30,""FsylQrob"",9.6915,1963.189302,2015,""Cyanistescaeruleus"",""13105104"",""12126235"",2015-04-14,13,1,8,5,NA"
"48,""2016_8_3"",""8_3"",8,""FsylQrub"",90.3595,1250.118395,2016,""Cyanistescaeruleus"",""13166617"",""14157337"",2016-04-12,10,0,8,8,NA"
"49,""2015_30_2"",""30_2"",30,""FsylQrob"",9.6915,1963.189302,2015,""Cyanistescaeruleus"",""13191755"",""13191777"",2015-04-15,12,1,10,7,NA"
"50,""2016_34_1"",""34_1"",34,""QrobQrub"",35.4919,2128.950818,2016,""Cyanistescaeruleus"",""14157336"",NA,2016-04-08,12,0,11,11,0.194537232"
"51,""2016_50_3"",""50_3"",50,""QrobQrub"",25.5002,2272.427065,2016,""Cyanistescaeruleus"",""14157350"",NA,2016-04-10,11,0,9,9,0.67338619"
"52,""2016_23_4"",""23_4"",23,""FsylQrob"",44.1402,2590.644674,2016,""Cyanistescaeruleus"",""14157525"",""12126101"",2016-04-05,5,0,3,3,0.132417881"
"53,""2016_17_1"",""17_1"",17,""FsylQrob"",90.3595,1895.97334,2016,""Cyanistescaeruleus"",""14157593"",NA,2016-04-03,14,0,13,13,0.101418365"
"54,""2016_18_4"",""18_4"",18,""Qrob"",90.3595,1258.831306,2016,""Cyanistescaeruleus"",""14157595"",""141575594"",2016-04-08,12,0,12,12,0.676870183"
